"","histo_minute_start","histo_minute_end","isActive","exchange","symbol_from","symbol_to","data_days_amount","row_id"
"1",2022-10-11,2024-06-28,TRUE,"Coinbase","00","USD",626,1
"2",2023-04-13,2024-06-28,TRUE,"LBank","0X0","USDT",442,1
"3",2021-02-14,2024-06-15,TRUE,"Yobit","0XBTC","DOGE",1217,1
"4",2024-01-25,2024-06-28,TRUE,"BitMart","0XDEV","USDT",155,1
"5",2023-12-12,2024-06-28,TRUE,"Binance","1000SATS","USDT",199,1
"6",2022-11-25,2024-06-28,TRUE,"Gateio","10SET","USDT",581,1
"7",2022-11-25,2024-06-28,TRUE,"Gateio","1ART","USDT",581,1
"8",2023-12-20,2024-06-28,TRUE,"BigONE","1CAT","USDT",191,1
"9",2021-11-23,2024-06-28,TRUE,"Kucoin","1EARTH","USDT",948,1
"10",2023-12-21,2024-06-28,TRUE,"mexc","1EX","USDT",190,1
"11",2020-12-25,2024-06-28,TRUE,"Bibox","1INCH","USDT",1281,1
"12",2022-03-16,2024-06-28,TRUE,"bybit","1SOL","USDT",835,1
"13",2020-05-12,2024-06-18,TRUE,"Yobit","2015","USD",1498,1
"14",2019-01-18,2024-06-12,TRUE,"Yobit","2BACCO","ETH",1972,1
"15",2020-01-28,2024-06-27,TRUE,"Yobit","2GIVE","USD",1612,1
"16",2023-07-24,2024-06-28,TRUE,"mexc","2MOON","USDT",340,1
"17",2019-11-20,2024-06-16,TRUE,"Yobit","32BIT","ETH",1670,1
"18",2021-03-09,2024-05-20,TRUE,"Yobit","365","DOGE",1168,1
"19",2023-03-03,2024-06-28,TRUE,"mexc","3KM","USDT",483,1
"20",2023-01-19,2024-06-28,TRUE,"bybit","3P","USDT",526,1
"21",2022-05-19,2024-06-28,TRUE,"BitMart","3ULL","USDT",771,1
"22",2023-01-18,2024-06-27,TRUE,"Yobit","404","WAVES",526,1
"23",2024-02-23,2024-06-28,TRUE,"mexc","404A","USDT",126,1
"24",2023-06-20,2024-06-28,TRUE,"LBank","4CHAN","USDT",374,1
"25",2023-12-05,2024-06-28,TRUE,"bybit","5IRE","USDT",206,1
"26",2021-12-07,2024-04-29,TRUE,"Yobit","888","USD",874,1
"27",2022-11-23,2024-06-28,TRUE,"Gateio","88MPH","ETH",583,1
"28",2018-12-22,2024-06-20,TRUE,"Yobit","8BIT","DOGE",2007,1
"29",2023-12-21,2024-06-28,TRUE,"BitMart","A4M","USDT",190,1
"30",2021-08-20,2024-06-25,TRUE,"probit","AAA","USDT",1040,1
"31",2020-08-24,2024-06-21,TRUE,"HitBTC","AAB","USDT",1397,1
"32",2024-03-22,2024-06-28,TRUE,"CoinEx","AABL","USDT",98,1
"33",2021-02-17,2024-06-28,TRUE,"HuobiPro","AAC","USDT",1227,1
"34",2024-03-19,2024-06-28,TRUE,"bitget","AAI","USDT",101,1
"35",2022-04-13,2024-06-28,TRUE,"CoinEx","AART","USDT",807,1
"36",2024-03-03,2024-06-28,TRUE,"mexc","AAST","USDT",117,1
"37",2020-10-09,2024-06-28,TRUE,"Poloniex","AAVE","USDT",1358,1
"38",2020-06-23,2024-06-14,TRUE,"Bibox","ABBC","USDT",1452,1
"39",2023-11-18,2024-06-28,TRUE,"xtpub","ABEL","USDT",223,1
"40",2022-10-10,2024-06-28,TRUE,"LBank","ABEY","USDT",627,1
"41",2023-12-12,2024-06-28,TRUE,"mexc","ABOND","USDT",199,1
"42",2021-04-28,2024-06-26,TRUE,"bitrue","ABONDV1","USDT",1155,1
"43",2019-12-07,2024-04-07,TRUE,"Yobit","ABT","ETH",1583,1
"44",2021-09-30,2024-06-18,TRUE,"Yobit","ABY","BTC",992,1
"45",2018-06-07,2024-06-23,TRUE,"HitBTC","ABYSS","ETH",2208,1
"46",2022-01-25,2024-06-28,TRUE,"Kraken","ACA","USD",885,1
"47",2018-01-08,2024-06-28,TRUE,"OKEX","ACE","USDT",2363,1
"48",2021-04-30,2024-06-28,TRUE,"Kucoin","ACEN","USDT",1155,1
"49",2021-01-01,2024-05-08,TRUE,"Yobit","ACES","DOGE",1223,1
"50",2020-09-07,2024-06-28,TRUE,"Bibox","ACH","USDT",1390,1
"51",2021-01-02,2024-06-17,TRUE,"Yobit","ACID","DOGE",1262,1
"52",2021-02-24,2024-06-28,TRUE,"Binance","ACM","USDT",1220,1
"53",2020-11-12,2024-06-04,TRUE,"Yobit","ACOIN","DOGE",1300,1
"54",2020-06-24,2024-06-18,TRUE,"Yobit","ACP","WAVES",1455,1
"55",2022-09-28,2024-06-28,TRUE,"Kucoin","ACQ","USDT",639,1
"56",2024-02-29,2024-06-28,TRUE,"mexc","ACRIA","USDT",120,1
"57",2023-02-15,2024-06-28,TRUE,"Coinbase","ACS","USD",499,1
"58",2018-04-23,2024-06-28,TRUE,"HuobiPro","ACT","USDT",2258,1
